# itau tau ik k probability_sum_theta_phi
       1   0.0000000000000000E+00        1   5.0000000000000001E-03   9.3487264041874383E+01
       1   0.0000000000000000E+00        2   6.7375000000000004E-02   6.9471875426972547E+00
       1   0.0000000000000000E+00        3   1.2975000000000000E-01   3.8029665407165694E+00
       1   0.0000000000000000E+00        4   1.9212499999999999E-01   2.3002302838453961E+00
       1   0.0000000000000000E+00        5   2.5450000000000000E-01   1.5139590489002870E+00
       1   0.0000000000000000E+00        6   3.1687500000000002E-01   1.8823979264679243E+00
       1   0.0000000000000000E+00        7   3.7924999999999998E-01   1.7685430429915976E+00
       1   0.0000000000000000E+00        8   4.4162499999999999E-01   1.0163642890170710E+00
       1   0.0000000000000000E+00        9   5.0400000000000000E-01   4.4164314782463043E-01
       1   0.0000000000000000E+00       10   5.6637499999999996E-01   3.5971691739407019E-01
       1   0.0000000000000000E+00       11   6.2875000000000003E-01   3.2251226457805704E-01
       1   0.0000000000000000E+00       12   6.9112499999999999E-01   1.9362950021188288E-01
       1   0.0000000000000000E+00       13   7.5349999999999995E-01   1.3502888119276368E-01
       1   0.0000000000000000E+00       14   8.1587500000000002E-01   1.1861258986782937E-01
       1   0.0000000000000000E+00       15   8.7824999999999998E-01   8.4022672466200626E-02
       1   0.0000000000000000E+00       16   9.4062500000000004E-01   5.8222156651291566E-02
       1   0.0000000000000000E+00       17   1.0029999999999999E+00   4.8420262079718973E-02
       1   0.0000000000000000E+00       18   1.0653750000000000E+00   3.1933227058569567E-02
       1   0.0000000000000000E+00       19   1.1277500000000000E+00   1.7417176759735257E-02
       1   0.0000000000000000E+00       20   1.1901250000000001E+00   9.6734190944826152E-03
       1   0.0000000000000000E+00       21   1.2524999999999999E+00   4.7525618596833841E-03
       1   0.0000000000000000E+00       22   1.3148750000000000E+00   3.6999242861308146E-03
       1   0.0000000000000000E+00       23   1.3772500000000001E+00   4.4730816940205644E-03
       1   0.0000000000000000E+00       24   1.4396249999999999E+00   1.6627330534762985E-03
       1   0.0000000000000000E+00       25   1.5020000000000000E+00   7.9041252317674346E-04
       1   0.0000000000000000E+00       26   1.5643750000000001E+00   1.6261579440415364E-03
       1   0.0000000000000000E+00       27   1.6267499999999999E+00   1.3230183497973357E-03
       1   0.0000000000000000E+00       28   1.6891250000000000E+00   1.0250637312512261E-03
